ID (#),Age,Primary Const Code,UTD Giving Total,"AVG Giving 
Over 6 years","Max Prelim Rating vs
Windfall Capacity",Windfall PTG Rating
1,74,Alumni,"$5,780.00",$963.33,0,95
2,73,Alumni,"$2,999.00",$499.83,0,94
3,65,Alumni,$525.00,$87.50,0,94
4,53,Alumni,"$1,000.00",$166.67,0,94
5,74,Alumni,$975.00,$162.50,0,93
6,77,Alumni,"$4,950.00",$825.00,0,93
7,69,Alumni,"$3,610.00",$601.67,0,93
8,66,Alumni,"$1,430.00",$238.33,0,93
9,58,Alumni,"$1,000.00",$166.67,0,93
10,49,Alumni,$741.69,$123.62,0,93
11,49,Alumni,$226.43,$37.74,0,93
12,59,Alumni,$500.00,$83.33,0,93
13,68,Alumni,"$1,850.00",$308.33,0,92
14,60,Alumni,"$1,050.00",$175.00,0,92
15,73,Alumni,"$1,125.00",$187.50,0,92
16,74,Alumni,$400.00,$66.67,0,92
17,79,Alumni,$0.00,$0.00,0,92
18,67,Alumni,"$1,785.00",$297.50,0,92
19,66,Alumni,"$1,735.00",$289.17,0,92
20,66,Alumni,$850.00,$141.67,0,92
21,81,Alumni,"$14,180.72","$2,363.45",0,92
22,57,Alumni,"$2,100.00",$350.00,0,92
23,50,Alumni,"$2,100.00",$350.00,0,92
24,57,Alumni,"$1,665.00",$277.50,0,92
25,54,Alumni,"$2,400.00",$400.00,0,92
26,67,Alumni,"$2,850.00",$475.00,0,92
27,51,Alumni,$988.80,$164.80,0,92
28,53,Alumni,"$3,920.00",$653.33,0,92
29,42,Alumni,"$2,020.00",$336.67,0,92
30,60,Alumni,"$12,933.75","$2,155.63",0,92
31,33,Alumni,$950.00,$158.33,0,92
32,79,Alumni,"$4,300.00",$716.67,0,91
33,70,Alumni,"$5,425.00",$904.17,0,91
34,65,Alumni,$0.00,$0.00,0,91
35,66,Alumni,$535.00,$89.17,0,91
36,77,Alumni,"$2,025.00",$337.50,0,91
37,69,Alumni,$0.00,$0.00,0,91
38,58,Alumni,$0.00,$0.00,0,91
39,65,Alumni,"$3,701.00",$616.83,0,91
40,89,Alumni,$650.00,$108.33,0,91
41,72,Alumni,"$2,475.00",$412.50,0,91
42,60,Alumni,$0.00,$0.00,0,91
43,70,Alumni,$0.00,$0.00,0,91
44,58,Alumni,"$6,640.00","$1,106.67",0,91
45,55,Alumni,$357.00,$59.50,0,91
46,53,Alumni,$219.69,$36.62,0,91
47,57,Alumni,"$1,864.73",$310.79,0,91
48,58,Alumni,$943.60,$157.27,0,91
49,55,Alumni,$450.00,$75.00,0,91
50,54,Alumni,$0.00,$0.00,0,91
51,51,Alumni,$392.00,$65.33,0,91
52,62,Alumni,$500.00,$83.33,0,91
53,77,Alumni,$785.00,$130.83,0,91
54,46,Alumni,"$3,678.24",$613.04,0,91
55,,Alumni,"$10,700.00","$1,783.33",0,91
56,47,Alumni,$0.00,$0.00,0,91
57,50,Alumni,$0.00,$0.00,0,91
58,51,Alumni,$0.00,$0.00,0,91
59,41,Alumni,$705.00,$117.50,0,91
60,42,Alumni,$25.00,$4.17,0,91
61,39,Alumni,"$1,378.10",$229.68,0,91
62,65,Alumni,"$3,761.46",$626.91,0,91
63,57,Alumni,$675.00,$112.50,0,91
64,52,Alumni,"$1,100.00",$183.33,0,91
65,46,Alumni,"$2,287.37",$381.23,0,91
66,40,Alumni,"$2,525.00",$420.83,0,91
67,61,Alumni,"$1,000.00",$166.67,0,91
68,68,Alumni,"$2,625.00",$437.50,0,90
69,60,Alumni,$850.00,$141.67,0,90
70,70,Alumni,$370.00,$61.67,0,90
71,66,Alumni,"$1,125.00",$187.50,0,90
72,77,Alumni,"$2,400.00",$400.00,0,90
73,64,Alumni,$25.00,$4.17,0,90
74,67,Alumni,$900.00,$150.00,0,90
75,65,Alumni,"$4,300.00",$716.67,0,90
76,63,Alumni,$550.00,$91.67,0,90
77,68,Alumni,$525.00,$87.50,0,90
78,59,Alumni,$825.00,$137.50,0,90
79,63,Alumni,"$2,449.69",$408.28,0,90
80,64,Alumni,"$1,290.00",$215.00,0,90
81,62,Alumni,"$23,605.00","$3,934.17",0,90
82,76,Alumni,$600.00,$100.00,0,90
83,57,Alumni,"$1,625.00",$270.83,0,90
84,62,Alumni,$0.00,$0.00,0,90
85,54,Alumni,"$10,987.00","$1,831.17",0,90
86,60,Alumni,$359.07,$59.85,0,90
87,61,Alumni,"$4,750.00",$791.67,0,90
88,60,Alumni,$800.00,$133.33,0,90
89,61,Alumni,"$1,150.00",$191.67,0,90
90,49,Alumni,$19.99,$3.33,0,90
91,47,Alumni,"$5,983.30",$997.22,0,90
92,56,Alumni,$0.00,$0.00,0,90
93,72,Alumni,"$1,320.00",$220.00,0,90
94,71,Alumni,$775.00,$129.17,0,90
95,45,Alumni,"$2,720.00",$453.33,0,90
96,53,Alumni,$759.69,$126.62,0,90
97,50,Alumni,"$2,000.00",$333.33,0,90
98,53,Alumni,$0.00,$0.00,0,90
99,43,Alumni,"$7,450.00","$1,241.67",0,90
100,75,Alumni,"$1,513.76",$252.29,0,90
101,47,Alumni,"$5,050.00",$841.67,0,90
102,48,Alumni,"$3,800.00",$633.33,0,90
103,52,Alumni,$689.69,$114.95,0,90
104,39,Alumni,$614.69,$102.45,0,90
105,49,Alumni,"$8,000.00","$1,333.33",0,90
106,42,Alumni,$552.00,$92.00,0,90
107,44,Alumni,"$1,250.00",$208.33,0,90
108,41,Alumni,$650.00,$108.33,0,90
109,45,Alumni,"$2,000.00",$333.33,0,90
110,36,Alumni,$369.69,$61.62,0,90
111,36,Alumni,"$2,424.05",$404.01,0,90
112,43,Alumni,$0.00,$0.00,0,90
113,40,Alumni,"$2,400.00",$400.00,0,90
114,37,Alumni,$359.07,$59.85,0,90
115,48,Alumni,"$1,800.00",$300.00,0,90
116,64,Alumni,$319.69,$53.28,0,90
117,73,Alumni,$880.37,$146.73,0,90
118,38,Alumni,$400.00,$66.67,0,90
119,69,Alumni,$500.00,$83.33,0,90
120,72,Alumni,$320.00,$53.33,0,90
121,32,Alumni,$310.00,$51.67,0,90
122,55,Alumni,$450.00,$75.00,0,90
123,46,Alumni,$170.00,$28.33,0,90
124,49,Alumni,"$1,000.00",$166.67,0,90
125,51,Alumni,"$1,670.38",$278.40,0,90
126,67,Alumni,"$2,000.00",$333.33,0,89
127,66,Alumni,$632.50,$105.42,0,89
128,82,Alumni,$389.38,$64.90,0,89
129,83,Alumni,"$1,480.00",$246.67,0,89
130,86,Alumni,"$1,060.00",$176.67,0,89
131,84,Alumni,$350.00,$58.33,0,89
132,63,Alumni,$810.00,$135.00,0,89
133,63,Alumni,$0.00,$0.00,0,89
134,69,Alumni,"$39,072.50","$6,512.08",0,89
135,73,Alumni,$475.00,$79.17,0,89
136,62,Alumni,"$1,000.00",$166.67,0,89
137,77,Alumni,"$3,200.00",$533.33,0,89
138,71,Alumni,"$13,885.00","$2,314.17",0,89
139,70,Alumni,"$1,575.00",$262.50,0,89
140,62,Alumni,$529.00,$88.17,0,89
141,74,Alumni,$375.00,$62.50,0,89
142,63,Alumni,$430.00,$71.67,0,89
143,61,Alumni,$169.69,$28.28,0,89
144,84,Alumni,$872.38,$145.40,0,89
145,62,Alumni,$267.91,$44.65,0,89
146,57,Alumni,$700.00,$116.67,0,89
147,65,Alumni,$625.00,$104.17,0,89
148,61,Alumni,$450.00,$75.00,0,89
149,55,Alumni,"$1,524.38",$254.06,0,89
150,62,Alumni,$600.00,$100.00,0,89
151,45,Alumni,$450.00,$75.00,0,89
152,48,Alumni,$250.00,$41.67,0,89
153,59,Alumni,$404.69,$67.45,0,89
154,63,Alumni,"$1,175.00",$195.83,0,89
155,46,Alumni,$159.69,$26.62,0,89
156,46,Alumni,$200.00,$33.33,0,89
157,42,Alumni,$971.13,$161.86,0,89
158,40,Alumni,"$1,479.41",$246.57,0,89
159,58,Alumni,$150.00,$25.00,0,89
160,46,Alumni,"$1,738.45",$289.74,0,89
161,59,Alumni,$500.00,$83.33,0,89
162,41,Alumni,$200.00,$33.33,0,89
163,47,Alumni,$580.00,$96.67,0,89
164,45,Alumni,$550.00,$91.67,0,89
165,37,Alumni,$820.00,$136.67,0,89
166,34,Alumni,$169.69,$28.28,0,89
167,40,Alumni,$450.00,$75.00,0,89
168,55,Alumni,"$3,147.15",$524.53,0,89
169,76,Alumni,"$2,273.00",$378.83,0,89
170,55,Alumni,$699.61,$116.60,0,89
171,30,Alumni,$150.00,$25.00,0,89
172,43,Alumni,$684.69,$114.12,0,89
173,56,Alumni,$500.00,$83.33,0,89
174,46,Alumni,$150.00,$25.00,0,89
175,50,Alumni,$0.00,$0.00,0,89
176,60,Alumni,$200.00,$33.33,0,88
177,59,Alumni,"$3,000.00",$500.00,0,88
178,74,Alumni,"$3,175.00",$529.17,0,88
179,81,Alumni,$150.00,$25.00,0,88
180,72,Alumni,"$1,605.00",$267.50,0,88
181,66,Alumni,$675.00,$112.50,0,88
182,75,Alumni,$150.00,$25.00,0,88
183,86,Alumni,$0.00,$0.00,0,88
184,63,Alumni,"$1,500.00",$250.00,0,88
185,58,Alumni,$818.70,$136.45,0,88
186,67,Alumni,$169.69,$28.28,0,88
187,69,Alumni,$264.38,$44.06,0,88
188,67,Alumni,$314.38,$52.40,0,88
189,56,Alumni,"$4,265.20",$710.87,0,88
190,75,Alumni,$460.00,$76.67,0,88
191,76,Alumni,$450.00,$75.00,0,88
192,52,Alumni,$569.69,$94.95,0,88
193,55,Alumni,"$1,140.00",$190.00,0,88
194,70,Alumni,"$2,751.43",$458.57,0,88
195,56,Alumni,$310.00,$51.67,0,88
196,50,Alumni,"$1,150.00",$191.67,0,88
197,65,Alumni,$981.00,$163.50,0,88
198,80,Alumni,"$5,225.00",$870.83,0,88
199,60,Alumni,$560.00,$93.33,0,88
200,50,Alumni,"$1,989.69",$331.62,0,88
201,46,Alumni,"$3,370.00",$561.67,0,88
202,51,Alumni,$415.23,$69.21,0,88
203,55,Alumni,$510.00,$85.00,0,88
204,46,Alumni,$225.00,$37.50,0,88
205,43,Alumni,$25.00,$4.17,0,88
206,40,Alumni,"$1,633.05",$272.18,0,88
207,40,Alumni,"$23,739.69","$3,956.62",0,88
208,77,Alumni,"$2,220.00",$370.00,0,88
209,45,Alumni,$775.00,$129.17,0,88
210,39,Alumni,"$23,739.69","$3,956.62",0,88
211,69,Alumni,"$7,800.00","$1,300.00",0,88
212,36,Alumni,$396.48,$66.08,0,88
213,37,Alumni,"$6,175.47","$1,029.25",0,88
214,43,Alumni,$0.00,$0.00,0,88
215,57,Alumni,$786.53,$131.09,0,88
216,37,Alumni,$410.00,$68.33,0,88
217,68,Alumni,$300.00,$50.00,0,88
218,39,Alumni,$774.58,$129.10,0,88
219,25,Alumni,$130.00,$21.67,0,88
220,51,Alumni,$300.00,$50.00,0,88
221,56,Alumni,$304.07,$50.68,0,87
222,65,Alumni,$250.00,$41.67,0,87
223,84,Alumni,"$1,167.76",$194.63,0,87
224,60,Alumni,$725.00,$120.83,0,87
225,73,Alumni,$200.00,$33.33,0,87
226,67,Alumni,$100.00,$16.67,0,87
227,85,Alumni,$130.00,$21.67,0,87
228,62,Alumni,$150.00,$25.00,0,87
229,70,Alumni,$835.00,$139.17,0,87
230,63,Alumni,$70.00,$11.67,0,87
231,62,Alumni,"$1,110.00",$185.00,0,87
232,66,Alumni,$625.00,$104.17,0,87
233,60,Alumni,$350.00,$58.33,0,87
234,59,Alumni,"$1,290.51",$215.09,0,87
235,67,Alumni,$250.00,$41.67,0,87
236,65,Alumni,$414.38,$69.06,0,87
237,79,Alumni,$445.00,$74.17,0,87
238,59,Alumni,$250.00,$41.67,0,87
239,72,Alumni,$200.00,$33.33,0,87
240,45,Alumni,$585.00,$97.50,0,87
241,64,Alumni,$320.00,$53.33,0,87
242,52,Alumni,$530.00,$88.33,0,87
243,59,Alumni,$700.00,$116.67,0,87
244,67,Alumni,$490.00,$81.67,0,87
245,43,Alumni,$100.00,$16.67,0,87
246,56,Alumni,$500.00,$83.33,0,87
247,41,Alumni,$225.60,$37.60,0,87
248,40,Alumni,"$5,490.00",$915.00,0,87
249,41,Alumni,$470.10,$78.35,0,87
250,41,Alumni,"$1,500.00",$250.00,0,87
251,41,Alumni,$100.00,$16.67,0,87
252,45,Alumni,$250.00,$41.67,0,87
253,45,Alumni,"$1,135.00",$189.17,0,87
254,51,Alumni,$170.00,$28.33,0,87
255,41,Alumni,$273.00,$45.50,0,87
256,32,Alumni,$170.00,$28.33,0,87
257,41,Alumni,$220.00,$36.67,0,87
258,29,Alumni,"$6,595.10","$1,099.18",0,87
259,33,Alumni,$150.00,$25.00,0,87
260,51,Alumni,$260.00,$43.33,0,87
261,61,Alumni,$0.00,$0.00,0,86
262,74,Alumni,$315.00,$52.50,0,86
263,61,Alumni,$0.00,$0.00,0,86
264,59,Alumni,$0.00,$0.00,0,86
265,70,Alumni,$0.00,$0.00,0,86
266,68,Alumni,$220.02,$36.67,0,86
267,70,Alumni,$0.00,$0.00,0,86
268,70,Alumni,$0.00,$0.00,0,86
269,70,Alumni,$0.00,$0.00,0,86
270,84,Alumni,"$8,415.00","$1,402.50",0,86
271,77,Alumni,"$6,415.00","$1,069.17",0,86
272,71,Alumni,$50.00,$8.33,0,86
273,74,Alumni,"$14,945.00","$2,490.83",0,86
274,67,Alumni,$0.00,$0.00,0,86
275,77,Alumni,"$6,600.00","$1,100.00",0,86
276,55,Alumni,"$2,775.00",$462.50,0,86
277,83,Alumni,"$1,330.69",$221.78,0,86
278,66,Alumni,$575.00,$95.83,0,86
279,52,Alumni,$0.00,$0.00,0,86
280,56,Alumni,$350.00,$58.33,0,86
281,49,Alumni,$525.00,$87.50,0,86
282,51,Alumni,$200.00,$33.33,0,86
283,49,Alumni,$499.00,$83.17,0,86
284,62,Alumni,$229.69,$38.28,0,86
285,48,Alumni,$325.00,$54.17,0,86
286,50,Alumni,"$1,000.00",$166.67,0,86
287,46,Alumni,"$1,100.00",$183.33,0,86
288,64,Alumni,$0.00,$0.00,0,86
289,57,Alumni,"$22,752.86","$3,792.14",0,86
290,46,Alumni,"$1,050.00",$175.00,0,86
291,43,Alumni,$600.00,$100.00,0,86
292,44,Alumni,"$1,375.31",$229.22,0,86
293,44,Alumni,$50.00,$8.33,0,86
294,56,Alumni,$215.00,$35.83,0,86
295,50,Alumni,$195.00,$32.50,0,86
296,38,Alumni,$35.00,$5.83,0,86
297,41,Alumni,"$1,439.38",$239.90,0,86
298,32,Alumni,"$39,000.00","$6,500.00",0,86
299,44,Alumni,"$5,000.00",$833.33,0,86
300,49,Alumni,$100.00,$16.67,0,86
301,55,Alumni,"$1,000.00",$166.67,0,86
302,52,Alumni,$89.38,$14.90,0,86
303,47,Alumni,$259.69,$43.28,0,86
304,72,Alumni,$100.00,$16.67,0,85
305,63,Alumni,$656.00,$109.33,0,85
306,78,Alumni,$790.00,$131.67,0,85
307,73,Alumni,$760.00,$126.67,0,85
308,67,Alumni,$0.00,$0.00,0,85
309,77,Alumni,"$2,317.23",$386.21,0,85
310,80,Alumni,$300.00,$50.00,0,85
311,83,Alumni,$225.00,$37.50,0,85
312,85,Alumni,$350.00,$58.33,0,85
313,81,Alumni,$475.00,$79.17,0,85
314,79,Alumni,"$106,650.00","$17,775.00",0,85
315,64,Alumni,$0.00,$0.00,0,85
316,75,Alumni,$0.00,$0.00,0,85
317,69,Alumni,$850.00,$141.67,0,85
318,65,Alumni,$659.69,$109.95,0,85
319,65,Alumni,$0.00,$0.00,0,85
320,65,Alumni,"$1,100.00",$183.33,0,85
321,66,Alumni,$251.00,$41.83,0,85
322,64,Alumni,$0.00,$0.00,0,85
323,62,Alumni,$264.38,$44.06,0,85
324,68,Alumni,$0.00,$0.00,0,85
325,67,Alumni,$100.00,$16.67,0,85
326,67,Alumni,$235.00,$39.17,0,85
327,71,Alumni,$100.00,$16.67,0,85
328,55,Alumni,$0.00,$0.00,0,85
329,76,Alumni,"$1,850.00",$308.33,0,85
330,62,Alumni,$0.00,$0.00,0,85
331,62,Alumni,$550.00,$91.67,0,85
332,58,Alumni,$975.00,$162.50,0,85
333,53,Alumni,$0.00,$0.00,0,85
334,63,Alumni,$50.00,$8.33,0,85
335,55,Alumni,$200.00,$33.33,0,85
336,55,Alumni,$25.00,$4.17,0,85
337,51,Alumni,$0.00,$0.00,0,85
338,54,Alumni,$231.25,$38.54,0,85
339,63,Alumni,"$2,050.00",$341.67,0,85
340,49,Alumni,$900.00,$150.00,0,85
341,56,Alumni,"$2,075.00",$345.83,0,85
342,53,Alumni,"$1,486.69",$247.78,0,85
343,49,Alumni,$0.00,$0.00,0,85
344,49,Alumni,"$1,000.00",$166.67,0,85
345,69,Alumni,"$1,787.64",$297.94,0,85
346,59,Alumni,$0.00,$0.00,0,85
347,59,Alumni,$10.00,$1.67,0,85
348,50,Alumni,$525.00,$87.50,0,85
349,44,Alumni,$80.00,$13.33,0,85
350,57,Alumni,"$1,449.69",$241.62,0,85
351,40,Alumni,$379.98,$63.33,0,85
352,43,Alumni,$474.38,$79.06,0,85
353,41,Alumni,$460.00,$76.67,0,85
354,49,Alumni,"$1,025.60",$170.93,0,85
355,44,Alumni,$410.00,$68.33,0,85
356,67,Alumni,$825.00,$137.50,0,85
357,64,Alumni,"$4,025.00",$670.83,0,85
358,55,Alumni,$0.00,$0.00,0,85
359,37,Alumni,$525.00,$87.50,0,85
360,38,Alumni,$50.00,$8.33,0,85
361,32,Alumni,$335.00,$55.83,0,85
362,33,Alumni,$425.00,$70.83,0,85
363,38,Alumni,$650.00,$108.33,0,85
364,34,Alumni,"$1,200.00",$200.00,0,85
365,51,Alumni,"$1,125.00",$187.50,0,85
366,45,Alumni,$200.00,$33.33,0,85
367,39,Alumni,$100.00,$16.67,0,85
368,45,Alumni,$89.38,$14.90,0,85
369,26,Alumni,$109.69,$18.28,0,85
370,40,Alumni,"$1,624.38",$270.73,0,85
371,77,Alumni,"$1,000.00",$166.67,0,84
372,60,Alumni,"$10,799.00","$1,799.83",0,84
373,67,Alumni,$800.00,$133.33,0,84
374,57,Alumni,$325.00,$54.17,0,84
375,55,Alumni,$75.00,$12.50,0,84
376,78,Alumni,$325.00,$54.17,0,84
377,77,Alumni,$289.69,$48.28,0,84
378,78,Alumni,"$1,100.00",$183.33,0,84
379,83,Alumni,$262.00,$43.67,0,84
380,62,Alumni,"$3,445.00",$574.17,0,84
381,74,Alumni,$245.00,$40.83,0,84
382,79,Alumni,"$2,150.00",$358.33,0,84
383,68,Alumni,$640.65,$106.78,0,84
384,66,Alumni,"$2,950.00",$491.67,0,84
385,66,Alumni,$100.00,$16.67,0,84
386,68,Alumni,$0.00,$0.00,0,84
387,64,Alumni,"$6,300.00","$1,050.00",0,84
388,65,Alumni,$200.00,$33.33,0,84
389,83,Alumni,$890.00,$148.33,0,84
390,89,Alumni,$875.00,$145.83,0,84
391,79,Alumni,$150.00,$25.00,0,84
392,83,Alumni,"$7,785.00","$1,297.50",0,84
393,69,Alumni,$350.00,$58.33,0,84
394,65,Alumni,$100.00,$16.67,0,84
395,62,Alumni,$625.00,$104.17,0,84
396,54,Alumni,"$1,000.00",$166.67,0,84
397,54,Alumni,$175.00,$29.17,0,84
398,67,Alumni,"$2,000.00",$333.33,0,84
399,49,Alumni,"$1,700.00",$283.33,0,84
400,53,Alumni,$0.00,$0.00,0,84
401,60,Alumni,$500.00,$83.33,0,84
402,60,Alumni,$900.00,$150.00,0,84
403,48,Alumni,$935.00,$155.83,0,84
404,61,Alumni,"$1,525.00",$254.17,0,84
405,80,Alumni,$200.00,$33.33,0,84
